"D" "I" "G"
"69" "d0" "i0" "g2"
"70" "d0" "i1" "g1"
"71" "d0" "i1" "g1"
"72" "d1" "i0" "g3"
"73" "d0" "i0" "g2"
"74" "d1" "i0" "g3"
"75" "d0" "i0" "g3"
"76" "d1" "i1" "g1"
"77" "d0" "i1" "g1"
"78" "d1" "i0" "g3"
"79" "d1" "i0" "g2"
"80" "d0" "i0" "g2"
"81" "d1" "i0" "g3"
"82" "d0" "i1" "g1"
"83" "d0" "i1" "g1"
"84" "d0" "i1" "g1"
"85" "d0" "i0" "g2"
"86" "d1" "i0" "g3"
"87" "d1" "i0" "g1"
"88" "d1" "i0" "g3"
"89" "d0" "i0" "g2"
"90" "d1" "i1" "g1"
"91" "d0" "i0" "g2"
"92" "d1" "i1" "g1"
"93" "d1" "i0" "g3"
"94" "d0" "i0" "g2"
"95" "d0" "i1" "g1"
"96" "d0" "i0" "g2"
"97" "d0" "i1" "g1"
"98" "d0" "i0" "g3"
"99" "d1" "i0" "g2"
"100" "d1" "i0" "g3"
"101" "d0" "i0" "g2"
"102" "d0" "i0" "g1"
"103" "d0" "i0" "g2"
"104" "d0" "i0" "g2"
"105" "d0" "i0" "g2"
"106" "d1" "i1" "g3"
"107" "d1" "i0" "g2"
"108" "d1" "i0" "g3"
"109" "d1" "i0" "g3"
"110" "d1" "i0" "g2"
"111" "d0" "i0" "g1"
"112" "d0" "i0" "g3"
"113" "d0" "i1" "g1"
"114" "d1" "i0" "g3"
"115" "d0" "i1" "g1"
"116" "d1" "i0" "g3"
"117" "d1" "i1" "g1"
"118" "d0" "i0" "g1"
"119" "d0" "i0" "g2"
"120" "d1" "i0" "g2"
"121" "d0" "i0" "g2"
"122" "d1" "i0" "g3"
"123" "d1" "i0" "g1"
"124" "d1" "i1" "g3"
"125" "d1" "i1" "g1"
"126" "d0" "i0" "g2"
"127" "d1" "i1" "g2"
"128" "d0" "i1" "g1"
"129" "d0" "i1" "g1"
"130" "d1" "i1" "g1"
"131" "d1" "i1" "g2"
"132" "d1" "i1" "g2"
"133" "d1" "i1" "g2"
"134" "d0" "i1" "g1"
"135" "d0" "i0" "g2"
"136" "d0" "i1" "g1"
"137" "d1" "i1" "g3"
"138" "d0" "i0" "g3"
"139" "d0" "i0" "g2"
"140" "d0" "i0" "g3"
"141" "d1" "i0" "g2"
"142" "d1" "i0" "g3"
"143" "d1" "i0" "g2"
"144" "d0" "i0" "g1"
"145" "d0" "i1" "g1"
"146" "d1" "i1" "g2"
"147" "d0" "i1" "g2"
"148" "d0" "i1" "g1"
"149" "d1" "i0" "g3"
"150" "d0" "i1" "g1"
"151" "d0" "i0" "g2"
"152" "d0" "i0" "g2"
"153" "d0" "i0" "g3"
"154" "d0" "i0" "g3"
"155" "d1" "i1" "g3"
"156" "d0" "i0" "g3"
"157" "d0" "i1" "g1"
"158" "d0" "i0" "g2"
"159" "d1" "i0" "g3"
"160" "d0" "i0" "g2"
"161" "d0" "i0" "g2"
"162" "d1" "i0" "g2"
"163" "d0" "i0" "g1"
"164" "d0" "i0" "g3"
"165" "d1" "i0" "g1"
"166" "d0" "i0" "g2"
"167" "d0" "i1" "g1"
"168" "d0" "i1" "g1"
"169" "d1" "i1" "g1"
"170" "d0" "i1" "g1"
"171" "d0" "i1" "g1"
"172" "d0" "i1" "g1"
"173" "d0" "i0" "g3"
"174" "d0" "i0" "g3"
"175" "d0" "i0" "g3"
"176" "d1" "i0" "g2"
"177" "d0" "i1" "g1"
"178" "d1" "i0" "g3"
"179" "d0" "i1" "g1"
"180" "d1" "i0" "g3"
"181" "d1" "i0" "g3"
"182" "d0" "i1" "g1"
"183" "d0" "i0" "g3"
"184" "d1" "i0" "g3"
"185" "d1" "i0" "g2"
"186" "d1" "i0" "g3"
"187" "d1" "i0" "g3"
"188" "d0" "i0" "g1"
"189" "d1" "i0" "g3"
"190" "d0" "i0" "g3"
"191" "d0" "i0" "g2"
"192" "d1" "i0" "g3"
"193" "d0" "i0" "g2"
"194" "d0" "i0" "g1"
"195" "d1" "i0" "g3"
"196" "d1" "i1" "g1"
"197" "d0" "i1" "g1"
"198" "d1" "i0" "g3"
"199" "d0" "i0" "g3"
"200" "d1" "i0" "g2"
"201" "d0" "i0" "g1"
"202" "d0" "i1" "g1"
"203" "d0" "i0" "g3"
"204" "d1" "i0" "g3"
"205" "d0" "i1" "g1"
"206" "d0" "i0" "g2"
"207" "d0" "i0" "g2"
"208" "d0" "i0" "g3"
"209" "d1" "i1" "g2"
"210" "d0" "i0" "g1"
"211" "d1" "i1" "g2"
"212" "d0" "i0" "g2"
"213" "d1" "i0" "g3"
"214" "d1" "i0" "g1"
"215" "d1" "i1" "g3"
"216" "d1" "i0" "g3"
"217" "d0" "i0" "g3"
"218" "d0" "i0" "g1"
"219" "d1" "i0" "g3"
"220" "d1" "i1" "g1"
"221" "d1" "i1" "g2"
"222" "d0" "i0" "g1"
"223" "d0" "i1" "g1"
"224" "d0" "i0" "g2"
"225" "d0" "i0" "g2"
"226" "d0" "i1" "g1"
"227" "d0" "i1" "g1"
"228" "d1" "i0" "g3"
"229" "d1" "i0" "g1"
"230" "d0" "i0" "g2"
"231" "d1" "i0" "g2"
"232" "d0" "i0" "g3"
"233" "d0" "i0" "g2"
"234" "d0" "i0" "g2"
"235" "d0" "i0" "g1"
"236" "d0" "i1" "g1"
"237" "d0" "i0" "g1"
"238" "d0" "i0" "g3"
"239" "d0" "i0" "g1"
"240" "d0" "i1" "g2"
"241" "d1" "i1" "g2"
"242" "d1" "i0" "g2"
"243" "d0" "i1" "g1"
"244" "d1" "i0" "g3"
"245" "d0" "i0" "g1"
"246" "d0" "i0" "g1"
"247" "d0" "i0" "g3"
"248" "d0" "i0" "g1"
"249" "d0" "i0" "g3"
"250" "d0" "i0" "g2"
"251" "d1" "i0" "g3"
"252" "d1" "i0" "g1"
"253" "d0" "i0" "g2"
"254" "d0" "i0" "g2"
"255" "d0" "i1" "g1"
"256" "d0" "i1" "g1"
"257" "d0" "i1" "g1"
"258" "d0" "i1" "g1"
"259" "d1" "i0" "g2"
"260" "d0" "i1" "g1"
"261" "d0" "i0" "g1"
"262" "d0" "i0" "g3"
"263" "d0" "i0" "g2"
"264" "d0" "i1" "g1"
"265" "d1" "i0" "g3"
"266" "d0" "i0" "g2"
"267" "d0" "i0" "g3"
"268" "d0" "i1" "g1"
"269" "d0" "i0" "g2"
"270" "d1" "i0" "g3"
"271" "d0" "i0" "g2"
"272" "d0" "i0" "g2"
"273" "d1" "i0" "g3"
"274" "d0" "i0" "g2"
"275" "d0" "i0" "g3"
"276" "d1" "i0" "g3"
"277" "d0" "i0" "g2"
"278" "d0" "i0" "g2"
"279" "d1" "i0" "g3"
"280" "d1" "i0" "g3"
"281" "d0" "i0" "g3"
"282" "d1" "i0" "g3"
"283" "d1" "i1" "g1"
"284" "d1" "i0" "g2"
"285" "d1" "i0" "g2"
"286" "d0" "i0" "g1"
"287" "d1" "i0" "g2"
"288" "d0" "i0" "g3"
"289" "d0" "i0" "g3"
"290" "d1" "i0" "g3"
"291" "d0" "i1" "g1"
"292" "d1" "i0" "g2"
"293" "d1" "i1" "g1"
"294" "d1" "i1" "g1"
"295" "d1" "i0" "g3"
"296" "d1" "i0" "g2"
"297" "d1" "i0" "g2"
"298" "d0" "i1" "g1"
"299" "d0" "i0" "g1"
"300" "d1" "i1" "g2"
"301" "d1" "i1" "g1"
"302" "d0" "i0" "g3"
"303" "d0" "i1" "g1"
"304" "d0" "i0" "g3"
"305" "d1" "i0" "g3"
"306" "d0" "i0" "g3"
"307" "d1" "i0" "g3"
"308" "d0" "i0" "g1"
"309" "d0" "i1" "g1"
"310" "d0" "i0" "g3"
"311" "d1" "i0" "g3"
"312" "d0" "i0" "g2"
"313" "d1" "i0" "g3"
"314" "d0" "i0" "g2"
"315" "d0" "i0" "g2"
"316" "d1" "i0" "g3"
"317" "d1" "i0" "g3"
"318" "d1" "i0" "g3"
"319" "d1" "i1" "g2"
"320" "d0" "i0" "g1"
"321" "d1" "i0" "g2"
"322" "d0" "i1" "g1"
"323" "d0" "i1" "g3"
"324" "d0" "i0" "g3"
"325" "d0" "i0" "g1"
"326" "d1" "i0" "g3"
"327" "d1" "i0" "g3"
"328" "d1" "i0" "g3"
"329" "d0" "i1" "g2"
"330" "d1" "i1" "g1"
"331" "d0" "i1" "g1"
"332" "d0" "i0" "g2"
"333" "d1" "i0" "g3"
"334" "d0" "i1" "g1"
"335" "d1" "i0" "g2"
"336" "d1" "i0" "g3"
"337" "d0" "i0" "g2"
"338" "d0" "i0" "g1"
"339" "d0" "i0" "g1"
"340" "d1" "i1" "g1"
"341" "d1" "i0" "g2"
"342" "d1" "i0" "g1"
"343" "d0" "i0" "g1"
"344" "d1" "i0" "g2"
"345" "d1" "i0" "g3"
"346" "d1" "i0" "g3"
"347" "d1" "i0" "g2"
"348" "d1" "i0" "g1"
"349" "d0" "i1" "g1"
"350" "d0" "i1" "g2"
"351" "d1" "i1" "g2"
"352" "d0" "i1" "g1"
"353" "d1" "i0" "g3"
"354" "d1" "i1" "g2"
"355" "d1" "i0" "g3"
"356" "d0" "i0" "g3"
"357" "d0" "i0" "g3"
"358" "d0" "i1" "g1"
"359" "d0" "i0" "g1"
"360" "d0" "i0" "g3"
"361" "d0" "i1" "g1"
"362" "d0" "i1" "g1"
"363" "d0" "i0" "g3"
"364" "d0" "i0" "g3"
"365" "d1" "i0" "g2"
"366" "d1" "i0" "g2"
"367" "d1" "i0" "g3"
"368" "d0" "i0" "g1"
"369" "d0" "i0" "g1"
"370" "d0" "i0" "g1"
"371" "d1" "i1" "g1"
"372" "d0" "i1" "g1"
"373" "d0" "i0" "g1"
"374" "d0" "i0" "g3"
"375" "d0" "i1" "g1"
"376" "d1" "i0" "g2"
"377" "d1" "i0" "g3"
"378" "d1" "i0" "g3"
"379" "d0" "i1" "g1"
"380" "d0" "i0" "g2"
"381" "d0" "i0" "g1"
"382" "d0" "i0" "g3"
"383" "d0" "i0" "g3"
"384" "d0" "i0" "g1"
"385" "d1" "i0" "g3"
"386" "d0" "i0" "g3"
"387" "d0" "i0" "g2"
"388" "d0" "i0" "g2"
"389" "d0" "i0" "g3"
"390" "d1" "i0" "g2"
"391" "d0" "i1" "g1"
"392" "d0" "i0" "g3"
"393" "d1" "i0" "g3"
"394" "d0" "i0" "g1"
"395" "d0" "i1" "g1"
"396" "d1" "i0" "g1"
"397" "d1" "i0" "g3"
"398" "d0" "i0" "g3"
"399" "d0" "i0" "g2"
"400" "d1" "i0" "g3"
"401" "d0" "i0" "g3"
"402" "d1" "i0" "g3"
"403" "d1" "i0" "g3"
"404" "d0" "i1" "g1"
"405" "d1" "i0" "g3"
"406" "d0" "i0" "g3"
"407" "d0" "i0" "g2"
"408" "d1" "i0" "g1"
"409" "d0" "i0" "g1"
"410" "d1" "i1" "g1"
"411" "d0" "i0" "g2"
"412" "d0" "i0" "g1"
"413" "d0" "i1" "g1"
"414" "d0" "i0" "g1"
"415" "d0" "i1" "g1"
"416" "d1" "i0" "g1"
"417" "d0" "i0" "g2"
"418" "d1" "i0" "g3"
"419" "d0" "i0" "g2"
"420" "d1" "i1" "g2"
"421" "d1" "i0" "g1"
"422" "d1" "i0" "g2"
"423" "d1" "i0" "g3"
"424" "d0" "i1" "g1"
"425" "d1" "i0" "g3"
"426" "d0" "i1" "g1"
"427" "d0" "i0" "g2"
"428" "d0" "i0" "g1"
"429" "d1" "i0" "g3"
"430" "d0" "i0" "g3"
"431" "d0" "i1" "g1"
"432" "d0" "i0" "g2"
"433" "d1" "i0" "g2"
"434" "d1" "i0" "g2"
"435" "d0" "i0" "g3"
"436" "d0" "i0" "g2"
"437" "d1" "i0" "g3"
"438" "d0" "i1" "g1"
"439" "d1" "i0" "g2"
"440" "d1" "i0" "g3"
"441" "d1" "i1" "g1"
"442" "d0" "i0" "g3"
"443" "d0" "i0" "g2"
"444" "d0" "i0" "g3"
"445" "d0" "i0" "g2"
"446" "d0" "i0" "g1"
"447" "d1" "i1" "g2"
"448" "d0" "i1" "g1"
"449" "d0" "i0" "g1"
"450" "d1" "i0" "g3"
"451" "d1" "i1" "g2"
"452" "d0" "i0" "g2"
"453" "d1" "i1" "g1"
"454" "d0" "i0" "g2"
"455" "d0" "i0" "g2"
"456" "d1" "i1" "g1"
"457" "d0" "i1" "g1"
"458" "d0" "i0" "g3"
"459" "d0" "i1" "g1"
"460" "d0" "i0" "g3"
"461" "d0" "i1" "g1"
"462" "d0" "i0" "g1"
"463" "d0" "i0" "g3"
"464" "d1" "i0" "g3"
"465" "d1" "i0" "g3"
"466" "d0" "i0" "g2"
"467" "d0" "i0" "g1"
"468" "d0" "i0" "g1"
"469" "d1" "i0" "g2"
"470" "d0" "i0" "g3"
"471" "d1" "i1" "g2"
"472" "d0" "i0" "g2"
"473" "d0" "i1" "g1"
"474" "d0" "i0" "g1"
"475" "d1" "i0" "g3"
"476" "d0" "i1" "g1"
"477" "d0" "i0" "g2"
"478" "d0" "i0" "g2"
"479" "d0" "i0" "g3"
"480" "d1" "i0" "g3"
"481" "d1" "i0" "g2"
"482" "d0" "i0" "g1"
"483" "d1" "i0" "g3"
"484" "d0" "i0" "g3"
"485" "d0" "i1" "g1"
"486" "d0" "i0" "g3"
"487" "d1" "i0" "g2"
"488" "d0" "i0" "g2"
"489" "d1" "i0" "g3"
"490" "d1" "i0" "g3"
"491" "d1" "i0" "g2"
"492" "d1" "i0" "g3"
"493" "d0" "i0" "g2"
"494" "d0" "i0" "g3"
"495" "d0" "i0" "g3"
"496" "d0" "i1" "g1"
"497" "d0" "i0" "g2"
"498" "d0" "i0" "g2"
"499" "d1" "i0" "g2"
"500" "d1" "i1" "g2"
"501" "d1" "i0" "g3"
"502" "d0" "i0" "g1"
"503" "d0" "i0" "g2"
"504" "d1" "i0" "g3"
"505" "d1" "i0" "g3"
"506" "d1" "i0" "g3"
"507" "d1" "i0" "g3"
"508" "d0" "i0" "g1"
"509" "d1" "i0" "g2"
"510" "d1" "i0" "g3"
"511" "d0" "i0" "g3"
"512" "d0" "i0" "g3"
"513" "d0" "i1" "g1"
"514" "d1" "i0" "g3"
"515" "d0" "i0" "g3"
"516" "d0" "i0" "g2"
"517" "d1" "i0" "g3"
"518" "d0" "i1" "g1"
"519" "d0" "i1" "g1"
"520" "d1" "i0" "g2"
"521" "d0" "i0" "g1"
"522" "d0" "i0" "g3"
"523" "d1" "i0" "g3"
"524" "d1" "i0" "g3"
"525" "d1" "i0" "g3"
"526" "d0" "i0" "g2"
"527" "d1" "i1" "g1"
"528" "d0" "i1" "g1"
"529" "d0" "i1" "g1"
"530" "d1" "i1" "g2"
"531" "d1" "i1" "g1"
"532" "d1" "i0" "g3"
"533" "d0" "i0" "g2"
"534" "d1" "i0" "g3"
"535" "d0" "i0" "g2"
"536" "d0" "i0" "g2"
"537" "d0" "i0" "g1"
"538" "d1" "i0" "g3"
"539" "d0" "i0" "g3"
"540" "d1" "i0" "g3"
"541" "d0" "i1" "g1"
"542" "d1" "i1" "g3"
"543" "d1" "i0" "g3"
"544" "d1" "i0" "g3"
"545" "d1" "i0" "g2"
"546" "d1" "i1" "g1"
"547" "d0" "i1" "g1"
"548" "d0" "i0" "g3"
"549" "d0" "i0" "g2"
"550" "d1" "i0" "g3"
"551" "d1" "i0" "g3"
"552" "d0" "i0" "g1"
"553" "d1" "i0" "g3"
"554" "d0" "i1" "g1"
"555" "d0" "i0" "g3"
"556" "d1" "i1" "g1"
"557" "d0" "i1" "g2"
"558" "d0" "i1" "g1"
"559" "d0" "i0" "g3"
"560" "d0" "i0" "g2"
"561" "d0" "i0" "g2"
"562" "d1" "i0" "g3"
"563" "d1" "i0" "g2"
"564" "d0" "i0" "g2"
"565" "d0" "i0" "g1"
"566" "d0" "i1" "g1"
"567" "d1" "i0" "g2"
"568" "d0" "i1" "g1"
"569" "d0" "i0" "g1"
"570" "d1" "i1" "g1"
"571" "d1" "i0" "g3"
"572" "d0" "i0" "g2"
"573" "d1" "i0" "g3"
"574" "d1" "i0" "g3"
"575" "d1" "i0" "g3"
"576" "d1" "i0" "g3"
"577" "d0" "i0" "g3"
"578" "d1" "i1" "g2"
"579" "d0" "i1" "g1"
"580" "d0" "i1" "g1"
"581" "d1" "i0" "g3"
"582" "d1" "i1" "g1"
"583" "d1" "i0" "g3"
"584" "d1" "i1" "g2"
"585" "d0" "i0" "g2"
"586" "d0" "i1" "g1"
"587" "d0" "i0" "g2"
"588" "d0" "i0" "g2"
"589" "d0" "i1" "g1"
"590" "d1" "i0" "g3"
"591" "d0" "i0" "g2"
"592" "d1" "i0" "g3"
"593" "d1" "i0" "g3"
"594" "d0" "i1" "g1"
"595" "d1" "i0" "g3"
"596" "d0" "i1" "g1"
"597" "d1" "i0" "g3"
"598" "d1" "i1" "g1"
"599" "d0" "i0" "g2"
"600" "d0" "i1" "g1"
"601" "d0" "i1" "g1"
"602" "d1" "i1" "g3"
"603" "d1" "i0" "g3"
"604" "d0" "i1" "g1"
"605" "d0" "i1" "g1"
"606" "d1" "i1" "g1"
"607" "d1" "i0" "g3"
"608" "d0" "i0" "g2"
"609" "d0" "i0" "g2"
"610" "d1" "i0" "g3"
"611" "d0" "i0" "g2"
"612" "d1" "i0" "g2"
"613" "d1" "i0" "g3"
"614" "d1" "i0" "g3"
"615" "d1" "i1" "g1"
"616" "d1" "i0" "g2"
"617" "d1" "i0" "g3"
"618" "d0" "i1" "g1"
"619" "d1" "i1" "g1"
"620" "d1" "i0" "g3"
"621" "d0" "i1" "g1"
"622" "d0" "i1" "g1"
"623" "d0" "i0" "g3"
"624" "d1" "i0" "g2"
"625" "d0" "i0" "g1"
"626" "d1" "i1" "g1"
"627" "d0" "i0" "g2"
"628" "d0" "i0" "g3"
"629" "d1" "i0" "g3"
"630" "d0" "i0" "g2"
"631" "d1" "i1" "g1"
"632" "d0" "i0" "g2"
"633" "d0" "i0" "g2"
"634" "d1" "i0" "g3"
"635" "d1" "i0" "g2"
"636" "d0" "i1" "g1"
"637" "d0" "i1" "g1"
"638" "d1" "i0" "g3"
"639" "d0" "i0" "g1"
"640" "d1" "i0" "g2"
"641" "d0" "i0" "g2"
"642" "d0" "i0" "g2"
"643" "d0" "i0" "g3"
"644" "d0" "i1" "g1"
"645" "d1" "i0" "g3"
"646" "d1" "i0" "g3"
"647" "d0" "i0" "g3"
"648" "d0" "i1" "g1"
"649" "d0" "i0" "g1"
"650" "d1" "i1" "g1"
"651" "d0" "i0" "g3"
"652" "d0" "i0" "g1"
"653" "d0" "i0" "g3"
"654" "d1" "i1" "g1"
"655" "d0" "i0" "g2"
"656" "d1" "i0" "g3"
"657" "d0" "i0" "g3"
"658" "d0" "i1" "g1"
"659" "d0" "i0" "g2"
"660" "d0" "i1" "g1"
"661" "d0" "i0" "g3"
"662" "d0" "i1" "g1"
"663" "d0" "i1" "g1"
"664" "d0" "i1" "g1"
"665" "d1" "i0" "g3"
"666" "d0" "i0" "g2"
"667" "d0" "i0" "g3"
"668" "d0" "i0" "g1"
"669" "d0" "i1" "g1"
"670" "d1" "i0" "g2"
"671" "d1" "i0" "g3"
"672" "d1" "i0" "g2"
"673" "d1" "i0" "g2"
"674" "d0" "i1" "g1"
"675" "d1" "i0" "g1"
"676" "d1" "i0" "g3"
"677" "d1" "i0" "g3"
"678" "d0" "i1" "g1"
"679" "d1" "i0" "g3"
"680" "d1" "i0" "g3"
"681" "d0" "i0" "g2"
"682" "d0" "i1" "g2"
"683" "d0" "i0" "g1"
"684" "d1" "i1" "g3"
"685" "d0" "i0" "g3"
"686" "d0" "i1" "g1"
"687" "d0" "i0" "g3"
"688" "d0" "i1" "g1"
"689" "d1" "i1" "g2"
"690" "d0" "i0" "g3"
"691" "d0" "i0" "g2"
"692" "d0" "i0" "g3"
"693" "d1" "i0" "g3"
"694" "d1" "i1" "g1"
"695" "d0" "i0" "g1"
"696" "d1" "i0" "g3"
"697" "d0" "i0" "g3"
"698" "d0" "i1" "g1"
"699" "d0" "i0" "g1"
"700" "d1" "i1" "g2"
"701" "d0" "i0" "g2"
"702" "d0" "i0" "g3"
"703" "d1" "i0" "g3"
"704" "d0" "i0" "g1"
"705" "d0" "i0" "g3"
"706" "d0" "i0" "g1"
"707" "d0" "i1" "g1"
"708" "d0" "i1" "g1"
"709" "d0" "i1" "g1"
"710" "d1" "i0" "g3"
"711" "d1" "i0" "g2"
"712" "d1" "i0" "g3"
"713" "d1" "i0" "g3"
"714" "d1" "i0" "g3"
"715" "d1" "i0" "g1"
"716" "d1" "i0" "g3"
"717" "d1" "i0" "g2"
"718" "d0" "i0" "g3"
"719" "d0" "i0" "g2"
"720" "d1" "i0" "g3"
"721" "d0" "i0" "g3"
"722" "d1" "i1" "g3"
"723" "d1" "i0" "g3"
"724" "d0" "i0" "g2"
"725" "d1" "i0" "g3"
"726" "d1" "i0" "g3"
"727" "d0" "i0" "g3"
"728" "d0" "i0" "g3"
"729" "d0" "i0" "g3"
"730" "d1" "i0" "g3"
"731" "d1" "i0" "g2"
"732" "d1" "i0" "g2"
"733" "d0" "i1" "g2"
"734" "d0" "i0" "g3"
"735" "d1" "i0" "g2"
"736" "d1" "i1" "g1"
"737" "d1" "i1" "g3"
"738" "d0" "i1" "g1"
"739" "d0" "i0" "g2"
"740" "d0" "i0" "g2"
"741" "d0" "i0" "g2"
"742" "d1" "i0" "g2"
"743" "d0" "i0" "g3"
"744" "d0" "i0" "g2"
"745" "d1" "i0" "g2"
"746" "d0" "i0" "g3"
"747" "d1" "i0" "g3"
"748" "d1" "i1" "g3"
"749" "d1" "i0" "g3"
"750" "d1" "i0" "g2"
"751" "d1" "i0" "g3"
"752" "d0" "i0" "g1"
"753" "d0" "i1" "g2"
"754" "d1" "i0" "g3"
"755" "d1" "i1" "g1"
"756" "d1" "i1" "g1"
"757" "d0" "i0" "g2"
"758" "d0" "i0" "g1"
"759" "d0" "i0" "g1"
"760" "d1" "i0" "g2"
"761" "d1" "i0" "g3"
"762" "d1" "i1" "g1"
"763" "d0" "i1" "g1"
"764" "d0" "i0" "g1"
"765" "d1" "i1" "g2"
"766" "d1" "i0" "g3"
"767" "d1" "i0" "g3"
"768" "d1" "i0" "g2"
"769" "d0" "i0" "g2"
"770" "d1" "i0" "g3"
"771" "d1" "i0" "g3"
"772" "d0" "i1" "g1"
"773" "d0" "i0" "g1"
"774" "d1" "i0" "g2"
"775" "d0" "i1" "g1"
"776" "d0" "i0" "g2"
"777" "d1" "i0" "g2"
"778" "d0" "i0" "g3"
"779" "d1" "i0" "g3"
"780" "d0" "i0" "g1"
"781" "d0" "i0" "g3"
"782" "d0" "i0" "g1"
"783" "d0" "i0" "g2"
"784" "d1" "i0" "g1"
"785" "d0" "i0" "g2"
"786" "d0" "i1" "g1"
"787" "d1" "i1" "g1"
"788" "d1" "i0" "g3"
"789" "d1" "i0" "g3"
"790" "d0" "i1" "g1"
"791" "d1" "i1" "g1"
"792" "d0" "i0" "g1"
"793" "d0" "i0" "g3"
"794" "d0" "i0" "g1"
"795" "d0" "i1" "g1"
"796" "d1" "i0" "g2"
"797" "d0" "i0" "g2"
"798" "d1" "i0" "g3"
"799" "d0" "i0" "g1"
"800" "d0" "i1" "g1"
"801" "d0" "i1" "g1"
"802" "d0" "i1" "g1"
"803" "d0" "i1" "g1"
"804" "d1" "i1" "g1"
"805" "d0" "i1" "g1"
"806" "d1" "i1" "g1"
"807" "d1" "i0" "g3"
"808" "d1" "i0" "g2"
"809" "d0" "i0" "g3"
"810" "d0" "i0" "g2"
"811" "d0" "i0" "g2"
"812" "d1" "i1" "g1"
"813" "d0" "i0" "g2"
"814" "d1" "i1" "g1"
"815" "d0" "i0" "g2"
"816" "d1" "i1" "g1"
"817" "d0" "i0" "g1"
"818" "d1" "i0" "g2"
"819" "d0" "i0" "g2"
"820" "d0" "i0" "g2"
"821" "d0" "i0" "g1"
"822" "d0" "i1" "g1"
"823" "d1" "i0" "g3"
"824" "d0" "i0" "g3"
"825" "d1" "i1" "g1"
"826" "d1" "i0" "g3"
"827" "d0" "i0" "g1"
"828" "d0" "i0" "g2"
"829" "d1" "i0" "g3"
"830" "d1" "i0" "g3"
"831" "d0" "i0" "g1"
"832" "d0" "i0" "g2"
"833" "d0" "i0" "g2"
"834" "d0" "i0" "g2"
"835" "d0" "i1" "g1"
"836" "d1" "i0" "g3"
"837" "d1" "i1" "g3"
"838" "d0" "i0" "g2"
"839" "d0" "i0" "g1"
"840" "d0" "i1" "g1"
"841" "d0" "i0" "g3"
"842" "d0" "i0" "g3"
"843" "d0" "i1" "g1"
"844" "d1" "i0" "g3"
"845" "d0" "i0" "g2"
"846" "d0" "i0" "g1"
"847" "d0" "i0" "g1"
"848" "d0" "i0" "g3"
"849" "d0" "i1" "g1"
"850" "d0" "i1" "g1"
"851" "d1" "i0" "g2"
"852" "d1" "i0" "g2"
"853" "d0" "i0" "g3"
"854" "d1" "i1" "g1"
"855" "d0" "i1" "g1"
"856" "d0" "i0" "g2"
"857" "d1" "i1" "g2"
"858" "d1" "i0" "g3"
"859" "d0" "i0" "g2"
"860" "d0" "i0" "g3"
"861" "d1" "i1" "g3"
"862" "d1" "i1" "g2"
"863" "d0" "i1" "g1"
"864" "d1" "i0" "g2"
"865" "d0" "i0" "g3"
"866" "d0" "i0" "g3"
"867" "d0" "i1" "g1"
"868" "d0" "i0" "g3"
"869" "d0" "i1" "g1"
"870" "d0" "i0" "g2"
"871" "d0" "i0" "g1"
"872" "d0" "i1" "g1"
"873" "d1" "i0" "g3"
